"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 11:20:37 AMT 2024","Tue Jul 16 11:20:37 AMT 2024","567","","Delayed Response","Test_delayed","","","Test Delayed Response",""
"passed","Tue Jul 16 11:20:34 AMT 2024","Tue Jul 16 11:20:35 AMT 2024","600","","Update User","Test_User_CRAD","","","Test Update User (PUT)",""
"passed","Tue Jul 16 11:20:29 AMT 2024","Tue Jul 16 11:20:30 AMT 2024","527","","List Resource","Test_Resource","","","Test List Resource",""
"passed","Tue Jul 16 11:20:30 AMT 2024","Tue Jul 16 11:20:31 AMT 2024","536","","Single Resource","Test_Resource","","","Test Single Resource",""
"passed","Tue Jul 16 11:20:31 AMT 2024","Tue Jul 16 11:20:32 AMT 2024","541","","List Users","Test_Users","","","Test List Users",""
"passed","Tue Jul 16 11:20:36 AMT 2024","Tue Jul 16 11:20:37 AMT 2024","1162","","Delete User","Test_User_CRAD","","","Test Delete User",""
"passed","Tue Jul 16 11:20:33 AMT 2024","Tue Jul 16 11:20:34 AMT 2024","1506","","Create User","Test_User_CRAD","","","Test Create User",""
"passed","Tue Jul 16 11:20:35 AMT 2024","Tue Jul 16 11:20:36 AMT 2024","628","","Update User","Test_User_CRAD","","","Test Update User (PATCH)",""
"passed","Tue Jul 16 11:20:32 AMT 2024","Tue Jul 16 11:20:32 AMT 2024","543","","Single User","Test_Users","","","Test Single User",""
"passed","Tue Jul 16 11:20:31 AMT 2024","Tue Jul 16 11:20:31 AMT 2024","578","","Single Resource","Test_Resource","","","Test Single Resource Not Found",""
"passed","Tue Jul 16 11:20:28 AMT 2024","Tue Jul 16 11:20:29 AMT 2024","580","","Unsuccessful Login","Test_Login","","","Test Unsuccessful Login: Missing Password",""
"passed","Tue Jul 16 11:20:27 AMT 2024","Tue Jul 16 11:20:28 AMT 2024","852","","Unsuccessful Registration","Test_Registration","","","Test Unsuccessful Registration: Missing Password",""
"passed","Tue Jul 16 11:20:28 AMT 2024","Tue Jul 16 11:20:28 AMT 2024","580","","Successful Registration","Test_Registration","","","Test Successful Registration",""
"passed","Tue Jul 16 11:20:32 AMT 2024","Tue Jul 16 11:20:33 AMT 2024","578","","Single User","Test_Users","","","Test Single User Not Found",""
"passed","Tue Jul 16 11:20:29 AMT 2024","Tue Jul 16 11:20:29 AMT 2024","579","","Successful Login","Test_Login","","","Test Successful Login",""
